name-in-tab;name-clean
amiga;Amiga
amiga;Amiga
amiga aga;Amiga
amiga ocs/ecs;Amiga
amiga ocs/ecs;Amiga
amiga ppc/rtg;Amiga
amstrad cpc;Amstrad, Schneider CPC
amstrad plus;Amstrad, Schneider CPC
android;Android
apple ii;Apple II
atari;Atari ST
atari 8 bit;Atari 8 Bit
atari falcon;Atari Falcon
atari falcon 030;Atari Falcon
atari st;Atari ST
atari st;Atari ST
atari st/e;Atari ST
atari st/e;Atari ST
atari ste;Atari ST
atari xl/xe;Atari 8 Bit
beos;BeOS
browser;Web
c16/116/plus4;Commodore 16, 116, Plus4
commodore 16/plus 4;Commodore 16, 116, Plus4
commodore 64;Commodore 64, 128
gamepark 32;GP32
gamepark gp32;GP32
gp32;GP32
ibm pc;IBM PC
java;Java
javascript;Web
linux;Linux
macos;MacOS
macos;MacOS
macosx intel;MacOS
ms-dos;MS-DOS
ms-dos/gus;MS-DOS
msx;MSX
nec pc engine;NEC PC Engine, TurboGrafx-16
nec turbografx/pc engine;NEC PC Engine, TurboGrafx-16
nintendo snes/super famicom;Super Nintendo Entertainment System
nintendo snes/super famicom;Super Nintendo Entertainment System
paper;Paper
sam coupé;SAM Coupé
sega dreamcast;SEGA Dreamcast
thomson;Thomson
vector-06c;Vector-06C
windows;Windows
zx spectrum;ZX Spectrum
